,index,c5_id,input,head,relation,tail
2320,1321,19880623034849I,UNABLE TO RAISE NOSE GEAR AFER TAKEOFF. RETURNED. GROUND LOCK PIN WAS NOT REMOVED BEFORE FLIGHT. CREW OVERSIGHT.   ,GROUND LOCK PIN,part of,NOSE GEAR AFER TAKEOFF
2321,1321,19880623034849I,UNABLE TO RAISE NOSE GEAR AFER TAKEOFF. RETURNED. GROUND LOCK PIN WAS NOT REMOVED BEFORE FLIGHT. CREW OVERSIGHT.   ,NOSE GEAR AFER TAKEOFF,has part,GROUND LOCK PIN
2322,1322,19880825050199I,REAR DOOR OPENED ON FINAL APPROACH STRIKING FUSELAGE. NO REASON FOUND FOR DOOR OPENING.                            ,REAR DOOR,part of,FUSELAGE
2323,1322,19880825050199I,REAR DOOR OPENED ON FINAL APPROACH STRIKING FUSELAGE. NO REASON FOUND FOR DOOR OPENING.                            ,FUSELAGE,has part,REAR DOOR
2324,1323,19880921056649I,LOST DIRECTIONAL CONTROL AFTER TAKEOFF AND ROLLED. RECOVERED AND LANDED. FORGOT TO REMOVE EXTERNAL AILERON LOCK.   ,TAKEOFF,followed by,ROLLED
2325,1323,19880921056649I,LOST DIRECTIONAL CONTROL AFTER TAKEOFF AND ROLLED. RECOVERED AND LANDED. FORGOT TO REMOVE EXTERNAL AILERON LOCK.   ,ROLLED,follows,TAKEOFF
2326,1324,19880711027479A,ENGINE LOST POWER ON HOMEBUILT ON CLIMBOUT. CRASH LANDED.  HAD PLACED LUGGAGE ON PLASTIC GAS LINE AND KINKED IT.   ,CLIMBOUT,has cause,ENGINE
2327,1325,19880913062619I,"SHORTLY AFTER ROTATION, FORWARD BAGGAGE DOOR BLEW OPEN AND FELL OFF. CONTINUED FLIGHT IN NON-AIRWORTHY AIRCRAFT.   ",BAGGAGE,part of,AIRCRAFT
2328,1325,19880913062619I,"SHORTLY AFTER ROTATION, FORWARD BAGGAGE DOOR BLEW OPEN AND FELL OFF. CONTINUED FLIGHT IN NON-AIRWORTHY AIRCRAFT.   ",AIRCRAFT,has part,BAGGAGE
2329,1326,19880909038109A,"BEGAN TAKEOFF ROLL WITH CONTROL LOCK IN PLACE. UNABLE TO REMOVE, ABORTED LATE, RAN OFF END OF RUNWAY AND OVERTURNED",TAKEOFF ROLL,has part,CONTROL LOCK
2330,1326,19880909038109A,"BEGAN TAKEOFF ROLL WITH CONTROL LOCK IN PLACE. UNABLE TO REMOVE, ABORTED LATE, RAN OFF END OF RUNWAY AND OVERTURNED",CONTROL LOCK,part of,TAKEOFF ROLL
2331,1327,19880714054459I,FUEL TRUCK EXHAUST FIRE WHILE REFUELING AIRCRAFT. EVACUATED AIRCRAFT VIA STAIRS. FAULTY TRUCK EXHAUST. NOT REPORTED,EVACUATED AIRCRAFT,different from,REFUELING AIRCRAFT
2332,1327,19880714054459I,FUEL TRUCK EXHAUST FIRE WHILE REFUELING AIRCRAFT. EVACUATED AIRCRAFT VIA STAIRS. FAULTY TRUCK EXHAUST. NOT REPORTED,REFUELing AIRCRAFT,different from,EVACUATED AIRCRAFT
2333,1328,19880914038569A,RIGHT COWL PANEL OPENED ON TAKEOFF CAUSED DRAG AND LOSS OF LIFT. LANDED OFF AIRPORT. IMPACT BENT THE WING SPAR.    ,TAKEOFF,instance of,AIRPORT
2334,1329,19880812032459A,"PARTIAL POWER LOSS ON CLIMBOUT. RETURNING,HIT FENCE AND AUTO SHORT OF RUNWAY. FAILED TO REMOVE COWLING BIRD COVERS.",BIRD,subclass of,COWLING
2335,1330,19880911037979I,ABORTED TAKEOFF WHEN AIRCRAFT DID NOT ROTATE. RAN OFF END OF RUNWAY. STABILIZER TRIM SETTING WRONG.                ,TAKEOFF,subclass of,AIRCRAFT
2336,1331,19880831036229A,"CREW FAILED TO ASCERTAIN FLAPS SET FOR TAKEOFF AND FLAP WARNING HORN FAILED, LACK OF LIFT CAUSED SETTLING AND CRASH",FLAP WARNING HORN,has part,ASCERTAIN FLAPS
2337,1332,19880720027129A,FLAPS LEFT FULL DOWN AFTER INSPECTION. TOOK OFF FLAPS DOWN PITCHED UP STALLED. NOSED DOWN. CONTROL LOCK ALSO ON.   ,FLAPS,has part,CONTROL LOCK
2338,1332,19880720027129A,FLAPS LEFT FULL DOWN AFTER INSPECTION. TOOK OFF FLAPS DOWN PITCHED UP STALLED. NOSED DOWN. CONTROL LOCK ALSO ON.   ,FLAPS,has part,CONTROL LOCK
2339,1332,19880720027129A,FLAPS LEFT FULL DOWN AFTER INSPECTION. TOOK OFF FLAPS DOWN PITCHED UP STALLED. NOSED DOWN. CONTROL LOCK ALSO ON.   ,CONTROL LOCK,part of,FLAPS
2340,1332,19880720027129A,FLAPS LEFT FULL DOWN AFTER INSPECTION. TOOK OFF FLAPS DOWN PITCHED UP STALLED. NOSED DOWN. CONTROL LOCK ALSO ON.   ,CONTROL LOCK,part of,FLAPS
2341,1333,19880711026239A,MISSED APPROACH. FORCED LANDING IN FIELD. PILOT USED TO VERNIOR THROTTLE. UNSCREWED SAME BY TWISTING. NO MECHANICAL,PILOT,uses,TWISTING
2342,1333,19880711026239A,MISSED APPROACH. FORCED LANDING IN FIELD. PILOT USED TO VERNIOR THROTTLE. UNSCREWED SAME BY TWISTING. NO MECHANICAL,TWISTING,used by,PILOT
2343,1334,19880807039859I,ABORTED 2 TAKEOFFS DUE TO AIRCRAFT NOSE HEAVY. NO DEFECTS. PILOT COUNSELED ON USE OF TRIM TAB.                     ,TRIM TAB,part of,AIRCRAFT
2344,1335,19880918044789A,PEDAL AND TURN PROBLEM ON LIFTOFF. UNAPPROVED PEDAL ADJUSTMENT. UNABLE TO STOP TURN ON NEXT LIFTOFF. CRASH LANDED. ,PEDAL,has effect,PEDAL ADJUSTMENT
2345,1335,19880918044789A,PEDAL AND TURN PROBLEM ON LIFTOFF. UNAPPROVED PEDAL ADJUSTMENT. UNABLE TO STOP TURN ON NEXT LIFTOFF. CRASH LANDED. ,PEDAL ADJUSTMENT,has cause,PEDAL
2346,1336,19880921056039I,HEARD LOUD BANG. NOSE BAGGAGE DOOR LIGHT CAME ON. PRECAUTIONARY LANDING. DOOR WAS AJAR. MINOR DAMAGE TO NOSE.      ,BAGGAGE,part of,DOOR
2347,1336,19880921056039I,HEARD LOUD BANG. NOSE BAGGAGE DOOR LIGHT CAME ON. PRECAUTIONARY LANDING. DOOR WAS AJAR. MINOR DAMAGE TO NOSE.      ,DOOR,has part,BAGGAGE
2348,1337,19880725057329A,WATER TAXI TO REFUEL PRIOR TO TAKEOFF. WATER ROUGH. LEFT FLOAT CAP OPEN SHIPPED WATER AND ACFT ROLLED OVER AND SANK,WATER TAXI,followed by,TAKEOFF
2349,1337,19880725057329A,WATER TAXI TO REFUEL PRIOR TO TAKEOFF. WATER ROUGH. LEFT FLOAT CAP OPEN SHIPPED WATER AND ACFT ROLLED OVER AND SANK,TAKEOFF,follows,WATER TAXI
2350,1338,19880910038059A,FAILED TO DISCONNECT THE CHEMICAL FILLER HOSE PRIOR TO LIFTOFF FROM TRUCK PLATFORM. HELICOPTER ROLLED OVER.        ,CHEMICAL FILLER HOSE,part of,TRUCK PLATFORM
2351,1338,19880910038059A,FAILED TO DISCONNECT THE CHEMICAL FILLER HOSE PRIOR TO LIFTOFF FROM TRUCK PLATFORM. HELICOPTER ROLLED OVER.        ,TRUCK PLATFORM,has part,CHEMICAL FILLER HOSE
2352,1339,19880920039549A,"UNABLE TO ROTATE, RAN OFF END OF RUNWAY FULL POWER NO BRAKING INTO DITCH. POSSIBLE CONTROL LOCK IN YOKE. NO DEFECTS",ROTATE,different from,DEFECTS
2353,1339,19880920039549A,"UNABLE TO ROTATE, RAN OFF END OF RUNWAY FULL POWER NO BRAKING INTO DITCH. POSSIBLE CONTROL LOCK IN YOKE. NO DEFECTS",DEFECTS,different from,ROTATE
2354,1340,19880920059059I,"DISCARDED CARGO DOOR WAS PICKED UP BY ROTOR WASH OF UNKNOWN HELICOPTER.IT HIT PARKED S550 N#92QS, DAMAGING AILERON.",S550,part of,N#92QS
2355,1340,19880920059059I,"DISCARDED CARGO DOOR WAS PICKED UP BY ROTOR WASH OF UNKNOWN HELICOPTER.IT HIT PARKED S550 N#92QS, DAMAGING AILERON.",N#92QS,has part,S550
2356,1341,19880730028329A,"HAD UNEVEN FUEL FLOW AND IMBALANCE. DIVERTED TO NEAREST AIRPORT, CRASHED AND BURNED. YAW DAMPER INOP.              ",FUEL,has part,IMBALANCE
2357,1341,19880730028329A,"HAD UNEVEN FUEL FLOW AND IMBALANCE. DIVERTED TO NEAREST AIRPORT, CRASHED AND BURNED. YAW DAMPER INOP.              ",IMBALANCE,part of,FUEL
2358,1342,19880712026389A,STUDENT PILOT PICKED UP PASSENGER. CRASHED ON TAKEOFF. FOUND CARBURETOR HEAT ON AND FLAPS FULL DOWN.               ,PILOT,has part,CARBURETOR
2359,1342,19880712026389A,STUDENT PILOT PICKED UP PASSENGER. CRASHED ON TAKEOFF. FOUND CARBURETOR HEAT ON AND FLAPS FULL DOWN.               ,CARBURETOR,part of,PILOT
2360,1343,19880901036579A,"CREWMAN HAD SECURED AFT SKID TIE DOWNS UNKNOWN BY PILOT. HE DID NOT CHECK, AIRCRAFT LIFTOFF NOSE HIGH.FELL IN WATER",AFT SKID TIE DOWNS,part of,AIRCRAFT
2361,1343,19880901036579A,"CREWMAN HAD SECURED AFT SKID TIE DOWNS UNKNOWN BY PILOT. HE DID NOT CHECK, AIRCRAFT LIFTOFF NOSE HIGH.FELL IN WATER",AIRCRAFT,has part,AFT SKID TIE DOWNS
2362,1344,19880926053609I,RIGHT SIDE OF ENGINE COWLING OPENED EN ROUTE. DIVERTED TO ROSTRAVER. LEFT SIDE OPENED. LANDED. NO REASON FOUND.    ,COWLING,connects with,ROSTRAVER
2363,1344,19880926053609I,RIGHT SIDE OF ENGINE COWLING OPENED EN ROUTE. DIVERTED TO ROSTRAVER. LEFT SIDE OPENED. LANDED. NO REASON FOUND.    ,ROSTRAVER,connects with,COWLING
2364,1345,19880716026869A,"TOOK OFF WITH FULL UP TRIM AND LEANED MIXTURE. NOSED UP,STALLED AND SPUN IN. CARRIED PASSENGERS. LACKED ENDORSEMENT",CARRIED,different from,PASSENGERS
2365,1345,19880716026869A,"TOOK OFF WITH FULL UP TRIM AND LEANED MIXTURE. NOSED UP,STALLED AND SPUN IN. CARRIED PASSENGERS. LACKED ENDORSEMENT",PASSENGERS,different from,CARRIED
2366,1346,19880630042289I,PIC REPORTED LOSING OIL PRESSURE AND ALTERNATOR. LANDED.FOUND ALTERNATOR CIRCUIT BREAKER OPEN AND BATTERY DEPLETED.,CIRCUIT,subclass of,ALTERNATOR
2367,1347,19890119007029I,TOP HALF OF DOOR OPENED DURING TAKEOFF. PROCEEDED TO KEENE. LANDED SAFELY. CHECKED DOOR AND RETURNED.              ,KEENE,instance of,TOP HALF OF DOOR
2368,1348,19881204069149I,STUDENT PULLED AND SET PARKING BRAKE INSTEAD OF FLAPS. HIGHER SPEED RESULTED IN FLOAT. BRAKE SET MADE TIRE BLOW.   ,FLAPS,different from,TIRE BLOW
2369,1348,19881204069149I,STUDENT PULLED AND SET PARKING BRAKE INSTEAD OF FLAPS. HIGHER SPEED RESULTED IN FLOAT. BRAKE SET MADE TIRE BLOW.   ,TIRE BLOW,different from,FLAPS
2370,1349,19881222071639I,LIGHT TO HEAVY FREEZING RAIN IN AREA. AIRCRAFT STALLED BUT RECOVERED ON INITIAL APPROACH. AIRFRAME DEICE NOT ON.   ,AIRFRAME DEICE NOT ON,facet of,AIRCRAFT
2371,1350,19881006062739I,UNABLE TO PRESSURIZE CABIN AFTER TAKEOFF. RETURNED. R-1 DOOR WAS OPEN. RECYCLED DOOR AND RESUMED FLIGHT.           ,CABIN,has part,R-1
2372,1350,19881006062739I,UNABLE TO PRESSURIZE CABIN AFTER TAKEOFF. RETURNED. R-1 DOOR WAS OPEN. RECYCLED DOOR AND RESUMED FLIGHT.           ,R-1,part of,CABIN
2373,1351,19881115058249A,NO AILERON CONTROL ON TAKEOFF TOW. RELEASED TOW AND CRASHED INTO TREES. PINS HOLDING AILERON CONTROLS WERE MISSING.,AILERON,product or material produced,TOW
2374,1351,19881115058249A,NO AILERON CONTROL ON TAKEOFF TOW. RELEASED TOW AND CRASHED INTO TREES. PINS HOLDING AILERON CONTROLS WERE MISSING.,AILERON,product or material produced,TOW
2375,1352,19890118023839I,COCKPIT FILLED WITH SMOKE WHILE TAXIING FOR DEPARTURE. ENGINE SHUT DOWN. ENGINE BLOWER INTAKE COVER STILL INSTALLED,COCKPIT,has part,ENGINE BLOWER
2376,1352,19890118023839I,COCKPIT FILLED WITH SMOKE WHILE TAXIING FOR DEPARTURE. ENGINE SHUT DOWN. ENGINE BLOWER INTAKE COVER STILL INSTALLED,ENGINE BLOWER,part of,COCKPIT
2377,1353,19881228056929A,ROUGH ENGINE AND PARTIAL POWER ON CLIMBOUT. HIT TREES ON RETURN. CARB HEAT LEVER TRAVEL WAS RESTRICTED.            ,CARB HEAT LEVER TRAVEL,subclass of,CLIMBOUT
2378,1354,19880930042679A,FAILED TO SECURE OIL CAP. ENGINE RAN OUT OF OIL. FORCED LANDING IN TREES. MEDICAL HAD EXPIRED.                     ,MEDICAL HAD EXPIRED,facet of,OIL
2379,1355,19880930042399A,"ERRATIC FLIGHT ON CLIMBOUT. LOST CONTROL TURNING, DIVED INTO GROUND. IMPROPERLY LOCKED UPPER DOOR SECTION CAME OPEN",CLIMBOUT,different from,TURNING
2380,1355,19880930042399A,"ERRATIC FLIGHT ON CLIMBOUT. LOST CONTROL TURNING, DIVED INTO GROUND. IMPROPERLY LOCKED UPPER DOOR SECTION CAME OPEN",CLIMBOUT,different from,GROUND
2381,1355,19880930042399A,"ERRATIC FLIGHT ON CLIMBOUT. LOST CONTROL TURNING, DIVED INTO GROUND. IMPROPERLY LOCKED UPPER DOOR SECTION CAME OPEN",TURNING,different from,CLIMBOUT
2382,1355,19880930042399A,"ERRATIC FLIGHT ON CLIMBOUT. LOST CONTROL TURNING, DIVED INTO GROUND. IMPROPERLY LOCKED UPPER DOOR SECTION CAME OPEN",TURNING,different from,GROUND
2383,1355,19880930042399A,"ERRATIC FLIGHT ON CLIMBOUT. LOST CONTROL TURNING, DIVED INTO GROUND. IMPROPERLY LOCKED UPPER DOOR SECTION CAME OPEN",GROUND,different from,CLIMBOUT
2384,1355,19880930042399A,"ERRATIC FLIGHT ON CLIMBOUT. LOST CONTROL TURNING, DIVED INTO GROUND. IMPROPERLY LOCKED UPPER DOOR SECTION CAME OPEN",GROUND,different from,TURNING
2385,1356,19881020064459I,PRECAUTIONARY RETURN TO AIRPORT TO CLOSE FUEL CAP. DEPARTED AGAIN. DID NOT CONTACT ATS ON EITHER TAKEOFF.          ,TAKEOFF,operator,ATS
2386,1357,19881022047829A,"TRIED TO GO AROUND WITH FULL FLAPS, UNABLE.THEN STALLED A WING AND IMPACTED.FAILED TO HOLD SWITCH ON FOR RETRACTION",FLAPS,different from,WING
2387,1357,19881022047829A,"TRIED TO GO AROUND WITH FULL FLAPS, UNABLE.THEN STALLED A WING AND IMPACTED.FAILED TO HOLD SWITCH ON FOR RETRACTION",WING,different from,FLAPS
2388,1358,19881130064879I,BOTH ENGINES FLUCTUATING. LANDED AT FT LEONARD WOOD. NO FUEL WOULD DRAIN FROM SUMP. LATER WATER CAME FROM SUMP.    ,SUMP,located in the administrative territorial entity,LEONARD WOOD
2389,1358,19881130064879I,BOTH ENGINES FLUCTUATING. LANDED AT FT LEONARD WOOD. NO FUEL WOULD DRAIN FROM SUMP. LATER WATER CAME FROM SUMP.    ,SUMP,located in the administrative territorial entity,LEONARD WOOD
2390,1359,19881214055199I,DOOR OPENED AND DEPARTED AIRCRAFT AT CRUISE ALTITUDE. DIVERTED. CAUSE NOT STATED.                                  ,DIVERTED,subclass of,AIRCRAFT
2391,1360,19881006044709A,CANOPY CAME OPEN ON TAKEOFF. PILOTS GLASSES BLEW OFF AND HE LOST CONTROL TRYING TO CLOSE CANOPY AND CRASHED.       ,CANOPY,located in the administrative territorial entity,TAKEOFF
2392,1360,19881006044709A,CANOPY CAME OPEN ON TAKEOFF. PILOTS GLASSES BLEW OFF AND HE LOST CONTROL TRYING TO CLOSE CANOPY AND CRASHED.       ,CANOPY,located in the administrative territorial entity,TAKEOFF
2393,1361,19881006044739A,PUT GEAR DOWN BY MISTAKE FOR WATER LANDING. AMPHIBIAN FLIPPED OVER. REPORTED ELEVATOR TRIM BROKE. NO DEFECTS NOTED.,AMPHIBIAN,has part,WATER LANDING
2394,1361,19881006044739A,PUT GEAR DOWN BY MISTAKE FOR WATER LANDING. AMPHIBIAN FLIPPED OVER. REPORTED ELEVATOR TRIM BROKE. NO DEFECTS NOTED.,WATER LANDing,part of,AMPHIBIAN
2395,1361,19881006044739A,PUT GEAR DOWN BY MISTAKE FOR WATER LANDING. AMPHIBIAN FLIPPED OVER. REPORTED ELEVATOR TRIM BROKE. NO DEFECTS NOTED.,WATER LANDing,has part,ELEVATOR TRIM BROKE
2396,1361,19881006044739A,PUT GEAR DOWN BY MISTAKE FOR WATER LANDING. AMPHIBIAN FLIPPED OVER. REPORTED ELEVATOR TRIM BROKE. NO DEFECTS NOTED.,ELEVATOR TRIM BROKE,part of,WATER LANDing
2397,1362,19881230068779I,TAKEOFF WARNING HORN WHEN THROTTLES WERE ADVANCED. ABORTED. RESET STABILIZER TRIM AND RETURNED TO TAKEOFF AGAIN.   ,TAKEOFF,has part,TAKEOFF WARNING HORN
2398,1362,19881230068779I,TAKEOFF WARNING HORN WHEN THROTTLES WERE ADVANCED. ABORTED. RESET STABILIZER TRIM AND RETURNED TO TAKEOFF AGAIN.   ,TAKEOFF,has part,TAKEOFF WARNING HORN
2399,1363,19890331021799I,AFTER SWITCHING TANKS FUEL FLOW DIMINISHED TILL ENGINE SPUTTERING CAUSED FORCED LANDING. FUEL WAS CONTAMINATED.    ,TILL,part of,ENGINE
2400,1363,19890331021799I,AFTER SWITCHING TANKS FUEL FLOW DIMINISHED TILL ENGINE SPUTTERING CAUSED FORCED LANDING. FUEL WAS CONTAMINATED.    ,ENGINE,has part,TILL
2401,1364,19890413020489I,LOST POWER ON TAKEOFF. LANDED WITH GEAR UP ON SAME RUNWAY. WATER IN FUEL TANK. FILLER CAP FIT LOOSELY.             ,TAKEOFF,has part,FUEL TANK
2402,1364,19890413020489I,LOST POWER ON TAKEOFF. LANDED WITH GEAR UP ON SAME RUNWAY. WATER IN FUEL TANK. FILLER CAP FIT LOOSELY.             ,FUEL TANK,part of,TAKEOFF
2403,1365,19890509021309I,REPORTED NO GEAR LIGHTS. LANDED SAFELY AFTER GEAR DOWN FLYBY. GEAR LIGHTS DIM DUE TO NAV LIGHTS ON. HARD TO SEE.   ,LANDED SAFELY,has cause,GEAR DOWN FLYBY
2404,1365,19890509021309I,REPORTED NO GEAR LIGHTS. LANDED SAFELY AFTER GEAR DOWN FLYBY. GEAR LIGHTS DIM DUE TO NAV LIGHTS ON. HARD TO SEE.   ,GEAR DOWN FLYBY,has effect,LANDED SAFELY
2405,1366,19890411007649A,"ERRATIC TAKEOFF RUN .JERKED INTO AIR,HIT TAIL AND WING ON RUNWAY.CARTWHEELED OFF RUNWAY. ELEVATOR TRIM FULL NOSE UP",TAKEOFF,subclass of,ELEVATOR
2406,1367,19890322024319I,VEERED OFF RUNWAY AT START OF TAKEOFF ROLL. STOPPED WITHOUT DAMAGE. CREW HAD FAILED TO REMOVE NR2 ENGINE STARTLOCKS,TAKEOFF ROLL,has part,ENGINE STARTLOCKS
2407,1367,19890322024319I,VEERED OFF RUNWAY AT START OF TAKEOFF ROLL. STOPPED WITHOUT DAMAGE. CREW HAD FAILED TO REMOVE NR2 ENGINE STARTLOCKS,ENGINE STARTLOCKS,part of,TAKEOFF ROLL
2408,1368,19890517027839I,NOTICED RIGHT MAIN FUEL CAP LEAKING AFTER TAKEOFF. RETURNED. ADDED FUEL AND ADJUSTED COLLAR ON FUEL CAP.           ,TAKEOFF,has effect,FUEL CAP
2409,1368,19890517027839I,NOTICED RIGHT MAIN FUEL CAP LEAKING AFTER TAKEOFF. RETURNED. ADDED FUEL AND ADJUSTED COLLAR ON FUEL CAP.           ,TAKEOFF,has effect,FUEL CAP
2410,1369,19890307025089I,LANDED BEHIND DC9 WHICH BLEW UP A GREAT DEAL OF SNOW. PULLED RIGHT ON ROLLOUT. WINDROW FROM SNOWPLOW CAUSED PULL.  ,WINDROW,has cause,SNOWPLOW
2411,1369,19890307025089I,LANDED BEHIND DC9 WHICH BLEW UP A GREAT DEAL OF SNOW. PULLED RIGHT ON ROLLOUT. WINDROW FROM SNOWPLOW CAUSED PULL.  ,SNOWPLOW,has effect,WINDROW
2412,1370,19890308025899I,RIGHT EMERGENCY DOOR SEPARATED ON CLIMB. RETURNED. FOUND RELEASE HANDLE PARTIALLY DISENGAGED.                      ,CLIMB,facet of,EMERGENCY
2413,1371,19890318057879I,NOSE GEAR UNSAFE LIGHT. TOW BAR HANGING FROM WHEEL. RETURNED. LANDED WITH GEAR UP. FORGOT TO REMOVE BAR.           ,TOW BAR,subclass of,BAR
2414,1372,19890502019819I,UNABLE TO RETRACT RIGHT MAIN GEAR ON CLIMBOUT. RETURNED AFTER DUMPING FUEL. LANDING GEAR SAFETY PIN WAS IN PLACE.  ,LANDING GEAR SAFETY PIN,use,CLIMBOUT
2415,1373,19890212002089A,"SETTLED TO RUNWAY, BOUNCED TWICE USING UP RUNWAY. BEGAN GO AROUND. IMPACTED ON TURNOUT NOSE DOWN.                  ",TURNOUT NOSE,part of,RUNWAY
2416,1373,19890212002089A,"SETTLED TO RUNWAY, BOUNCED TWICE USING UP RUNWAY. BEGAN GO AROUND. IMPACTED ON TURNOUT NOSE DOWN.                  ",TURNOUT NOSE,part of,RUNWAY
2417,1374,19890505030929I,ABORTED TAKEOFF WHEN NOSE BAGGAGE DOOR OPENED. TAXIED TO RAMP. PILOT DID NOT RECALL CHECKING DOOR.                 ,TAKEOFF,has part,BAGGAGE DOOR
2418,1374,19890505030929I,ABORTED TAKEOFF WHEN NOSE BAGGAGE DOOR OPENED. TAXIED TO RAMP. PILOT DID NOT RECALL CHECKING DOOR.                 ,BAGGAGE DOOR,part of,TAKEOFF
2419,1375,19890321019889I,UNABLE TO RETRACT GEAR. RETURNED AND LANDED SAFELY. NOSE GEAR LOCK PINS INSTALLED. REMOVED AND RESUMED FLIGHT.     ,NOSE GEAR,has part,LOCK PINS
2420,1375,19890321019889I,UNABLE TO RETRACT GEAR. RETURNED AND LANDED SAFELY. NOSE GEAR LOCK PINS INSTALLED. REMOVED AND RESUMED FLIGHT.     ,LOCK PINS,part of,NOSE GEAR
2421,1376,19890308009319I,STUDENT DELAYED GEAR EXTENSION ON SIMULATED ENGINE FAILURE. TOWER ADVISED GEAR UP. LOWERED GEAR AND LANDED.        ,LOWERED GEAR AND LANDED,facet of,SIMULATED ENGINE FAILURE
2422,1377,19890421019839I,NR2 FIRE WARNING ON CLIMBOUT. SHUT ENGINE DOWN AND RETURNED. FOUND BIRD NEST BEING BUILT IN ENGINE INTAKE. NO FIRE.,SHUT ENGINE DOWN AND RETURNED,has effect,NO FIRE
2423,1377,19890421019839I,NR2 FIRE WARNING ON CLIMBOUT. SHUT ENGINE DOWN AND RETURNED. FOUND BIRD NEST BEING BUILT IN ENGINE INTAKE. NO FIRE.,NO FIRE,has cause,SHUT ENGINE DOWN AND RETURNed
2424,1378,19890221013499I,ELEVATOR PARTIALLY JAMMED IN CRUISE. EMERGENCY LANDING AT BURLINGTON WITHOUT INCIDENT. ICE IN HULL CAUSED PROBLEM. ,EMERGENCY LANDING,located in the administrative territorial entity,BURLINGTON
2425,1379,19890311003709A,VEERED OFF RUNWAY AND OVERTURNED ON TAKEOFF. FOUND LOOSE FRONT COCKPIT SEAT HAD FALLEN TO FLOOR. JAMMED LEFT BRAKE.,COCKPIT SEAT,part of,TAKEOFF
2426,1379,19890311003709A,VEERED OFF RUNWAY AND OVERTURNED ON TAKEOFF. FOUND LOOSE FRONT COCKPIT SEAT HAD FALLEN TO FLOOR. JAMMED LEFT BRAKE.,TAKEOFF,has part,COCKPIT SEAT
2427,1380,19890306022879I,LEFT ENGINE DID NOT DEVELOP ENOUGH POWER ON TAKEOFF. ABORTED. RAN OFF RUNWAY. FOUND WATER IN SUMP.                 ,TAKEOFF,manufacturer,LEFT ENGINE
2428,1381,19890505026419I,ENGINE FAILED ON TAKEOFF. HARD LANDING ON RAMP. LEFT AND NOSE GEAR BROKE OFF. FOUND WATER IN FUEL.                 ,TAKEOFF,has part,RAMP
2429,1381,19890505026419I,ENGINE FAILED ON TAKEOFF. HARD LANDING ON RAMP. LEFT AND NOSE GEAR BROKE OFF. FOUND WATER IN FUEL.                 ,RAMP,part of,TAKEOFF
2430,1382,19890324004579A,NOSED UP ON LIFTOFF. UNABLE TO COMPENSATE AND STALLED. CONTROL STICK IN FRONT COCKPIT WAS TIED AFT BY THE SEATBELT.,COCKPIT,connects with,SEATBELT
2431,1382,19890324004579A,NOSED UP ON LIFTOFF. UNABLE TO COMPENSATE AND STALLED. CONTROL STICK IN FRONT COCKPIT WAS TIED AFT BY THE SEATBELT.,SEATBELT,connects with,COCKPIT
2432,1383,19890215010129I,SHUT DOWN ENGINE BECAUSE OF OIL LEAK AND PRESSURE FLUCTUATION. LANDED SAFELY. FOUND LOOSE OIL DIPSTICK.            ,OIL LEAK,has effect,PRESSURE FLUCTUATION
2433,1383,19890215010129I,SHUT DOWN ENGINE BECAUSE OF OIL LEAK AND PRESSURE FLUCTUATION. LANDED SAFELY. FOUND LOOSE OIL DIPSTICK.            ,PRESSURE FLUCTUATION,has cause,OIL LEAK
2434,1384,19890503010699A,CONFLICTING REPORTS FROM CFI AND STUDENT. LOST RIGHT ENGINE ON TAKEOFF DUE FUEL PUMPS OFF. IMPROPER CFI PROCEDURES.,TAKEOFF,has part,PUMPS
2435,1384,19890503010699A,CONFLICTING REPORTS FROM CFI AND STUDENT. LOST RIGHT ENGINE ON TAKEOFF DUE FUEL PUMPS OFF. IMPROPER CFI PROCEDURES.,PUMPS,part of,TAKEOFF
2436,1385,19890220017259I,SMOKE IN COCKPIT AFTER HEATER TURNED ON. RETURNED. OIL SPILL DURING PREFLIGHT SERVICE WAS SOURCE OF SMOKE.         ,COVID-19 pandemic,has effect,COVID-19 pandemic
2437,1385,19890220017259I,SMOKE IN COCKPIT AFTER HEATER TURNED ON. RETURNED. OIL SPILL DURING PREFLIGHT SERVICE WAS SOURCE OF SMOKE.         ,COVID-19 pandemic,has cause,COVID-19 pandemic
2438,1386,19890206009289I,NOSE GEAR LEFT RUNWAY WHILE MAKING 180 DEGREE TURN. PILOT LOWT DIRECTIONAL CONTROL. MISUSED THROTTLES.             ,LEFT RUNWAY,subclass of,PILOT
2439,1387,19890328004879I,TOOK OFF WITH TOW BAR ATTACHED. UNABLE TO RETRACT NOSE GEAR. DAMAGED DOWN LOCK. GEAR COLLAPSED ON LANDING.         ,TOW BAR,has part,NOSE GEAR
2440,1387,19890328004879I,TOOK OFF WITH TOW BAR ATTACHED. UNABLE TO RETRACT NOSE GEAR. DAMAGED DOWN LOCK. GEAR COLLAPSED ON LANDING.         ,NOSE GEAR,part of,TOW BAR
2441,1388,19890125022859I,LEFT ENGINE FAILED WHEN FUEL BOOST PUMP SET ON HIGH. SAFE LANDING. UNFAMILIAR SWITCHES AND PILOT FLOODED ENGINE.   ,FUEL BOOST PUMP,instance of,ENGINE
